Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Correlate
210,3/19/2020,6:00 PM,Andhra Pradesh,2,0,0,0,2,0
211,3/19/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,0
212,3/19/2020,6:00 PM,Delhi,11,1,3,1,12,0
213,3/19/2020,6:00 PM,Haryana,3,14,0,0,17,0
214,3/19/2020,6:00 PM,Karnataka,14,0,0,1,14,0
215,3/19/2020,6:00 PM,Kerala,25,2,3,0,27,0
216,3/19/2020,6:00 PM,Maharashtra,44,3,0,1,47,0
217,3/19/2020,6:00 PM,Odisha,1,0,0,0,1,0
218,3/19/2020,6:00 PM,Puducherry,1,0,0,0,1,0
219,3/19/2020,6:00 PM,Punjab,2,0,0,1,2,0
220,3/19/2020,6:00 PM,Rajasthan,5,2,3,0,7,0
221,3/19/2020,6:00 PM,Tamil Nadu,2,0,1,0,2,0
222,3/19/2020,6:00 PM,Telengana,4,2,1,0,6,0
223,3/19/2020,6:00 PM,Chandigarh,1,0,0,0,1,0
224,3/19/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0
225,3/19/2020,6:00 PM,Ladakh,8,0,0,0,8,0
226,3/19/2020,6:00 PM,Uttar Pradesh,18,1,9,0,19,0
227,3/19/2020,6:00 PM,Uttarakhand,1,0,0,0,1,0
228,3/19/2020,6:00 PM,West Bengal,1,0,0,0,1,0
229,3/20/2020,6:00 PM,Andhra Pradesh,3,0,0,0,3,0
230,3/20/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,0
231,3/20/2020,6:00 PM,Delhi,16,1,5,1,17,0
232,3/20/2020,6:00 PM,Gujarat,5,0,0,0,5,0
233,3/20/2020,6:00 PM,Haryana,3,14,0,0,17,0
234,3/20/2020,6:00 PM,Karnataka,15,0,1,1,15,0
235,3/20/2020,6:00 PM,Kerala,26,2,3,0,28,0
236,3/20/2020,6:00 PM,Maharashtra,49,3,0,1,52,0
237,3/20/2020,6:00 PM,Odisha,2,0,0,0,2,0
238,3/20/2020,6:00 PM,Puducherry,1,0,0,0,1,0
239,3/20/2020,6:00 PM,Punjab,2,0,0,1,2,0
240,3/20/2020,6:00 PM,Rajasthan,15,2,3,0,17,0
241,3/20/2020,6:00 PM,Tamil Nadu,3,0,1,0,3,0
242,3/20/2020,6:00 PM,Telengana,8,9,1,0,17,0
243,3/20/2020,6:00 PM,Chandigarh,1,0,0,0,1,0
244,3/20/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4,0
245,3/20/2020,6:00 PM,Ladakh,10,0,0,0,10,0
246,3/20/2020,6:00 PM,Uttar Pradesh,22,1,9,0,23,0
247,3/20/2020,6:00 PM,Uttarakhand,3,0,0,0,3,0
248,3/20/2020,6:00 PM,West Bengal,2,0,0,0,2,0
249,3/21/2020,6:00 PM,Andhra Pradesh,3,0,0,0,3,0
250,3/21/2020,6:00 PM,Chhattisgarh,1,0,0,0,1,0
